yearID,lgID,Slugging,DH_Rule
2011,NL,0.568413168556157,AL Only
1951,NL,0.5307465342825028,No DH
1997,AL,0.6000766920176391,AL Only
1963,AL,0.4971551144316591,No DH
1957,NL,0.5278547962440877,No DH
2010,AL,0.5851652961906361,AL Only
1970,NL,0.5306702775897089,No DH
1996,NL,0.5712447401268803,AL Only
1956,NL,0.5205859160314464,No DH
1956,AL,0.5255314590425405,No DH
2020,AL,0.5421686746987951,AL Only
1952,NL,0.5164525526529443,No DH
2020,NL,0.5454267151943943,AL Only
1958,AL,0.5086603972747337,No DH
1985,AL,0.5583701153293553,AL Only
1962,NL,0.5096935923100506,No DH
1968,AL,0.45834031540337744,No DH
1984,AL,0.549338980875369,AL Only
1993,NL,0.5612925705584019,AL Only
1958,NL,0.5394727475500083,No DH
1978,NL,0.5397507520412549,AL Only
1950,NL,0.5541540927951716,No DH
1949,AL,0.5413136864335597,No DH
2015,NL,0.5667497459226637,AL Only
2000,AL,0.6177957146676513,AL Only
1981,NL,0.5380721125211894,AL Only
1983,NL,0.5287977235722873,AL Only
1948,NL,0.5493657705414615,No DH
1969,AL,0.48162841796875,No DH
1966,AL,0.48731555785658814,No DH
2001,NL,0.5921566401816118,AL Only
1964,AL,0.49456324755346137,No DH
2015,AL,0.5738084890627263,AL Only
1989,AL,0.543776946652122,AL Only
2021,AL,0.5489383675326113,AL Only
1949,NL,0.5503734400973987,No DH
1971,NL,0.5005993657344886,No DH
1976,NL,0.5194487495061841,AL Only
1994,AL,0.6097503532736693,AL Only
1974,NL,0.515012384462031,AL Only
1998,AL,0.6119669455213221,AL Only
1955,AL,0.5084056723342182,No DH
1996,AL,0.6121507143760273,AL Only
1960,AL,0.5217983651226158,No DH
2009,NL,0.5923717627782077,AL Only
1970,AL,0.49448039588884657,No DH
2018,NL,0.5528396315369551,AL Only
2016,AL,0.5708221788100234,AL Only
1991,NL,0.5293352711695861,AL Only
1993,AL,0.5819936521043532,AL Only
1952,AL,0.5199565186568046,No DH
1981,AL,0.5243736838997894,AL Only
1955,NL,0.5256026620065593,No DH
2012,AL,0.5647816935056885,AL Only
1987,AL,0.5654788676287282,AL Only
1973,AL,0.5152543907296759,AL Only
1992,NL,0.5432408590375373,AL Only
1989,NL,0.529741556132914,AL Only
2018,AL,0.5732196832305646,AL Only
1980,AL,0.5591490345110929,AL Only
2007,NL,0.6112371352903709,AL Only
2022,AL,0.5434144910530947,DH allowed
1972,NL,0.4963083845617593,No DH
1972,AL,0.47412172673061964,No DH
1995,AL,0.5977244613215961,AL Only
1982,AL,0.5531289320288627,AL Only
2009,AL,0.5994099916629256,AL Only
1988,AL,0.5530809687682618,AL Only
1953,NL,0.5451816412204789,No DH
2002,NL,0.5821468437478643,AL Only
1977,AL,0.5558330637334196,AL Only
1983,AL,0.5727117359067604,AL Only
1969,NL,0.49587078523520556,No DH
